asin,search_term,title,brand,price_usd,rating,ratings_total,reviews_total,categories,description,feature_bullets,link,scraped_at
B002RSRURY,Celsius energy drink,"CELSIUS On-The-Go Powder Stick Packs, Zero Sugar (14 Sticks per Pack), Berry, 2.5 Ounce",Celsius,11.34,4.7,6898.0,,"Grocery & Gourmet Food; Beverages; Bottled Beverages, Water & Drink Mixes; Energy Drinks","CELSIUS® is functional, Essential Energy– a better-for-you, premium alternative to traditional energy drinks, made with 7 essential vitamins and zero sugar. As a global, lifestyle fitness drink, CELSIUS was created to help people LIVE FIT, exceed their goals and elevate their everyday lives. Our CELSIUS On-the-Go Powder Sticks contain the same clinically proven ingredients as CELSIUS, only its compact, convenient and perfect for traveling. Whether you’re hiking trails, beachside chillin’ or ski lodge loungin’, CELSIUS On-the-Go Powder Sticks are ready when you are, so you can be ready for anything. Our proprietary MetaPlus® blend contains green tea extract and EGCG. It also includes guarana seed extract, ginger root for flavor and digestion, vitamin C to support your immune system, vitamin B for energy production, and chromium to help control hunger, making it an ideal pre-workout drink. CELSIUS On-the-Go Powder Sticks allow you to adjust the powder you use depending on the level of energy boost you require, making it a flexible option. Our powders can be mixed with various liquids, such as water, juice, smoothies and protein shakes, allowing you to personalize the taste and consistency to your liking. Give yourself a sweet and refreshing berry-flavored energy boost with CELSIUS® Berry On-the-Go Powder Sticks. Enjoy CELSIUS® On-the-Go Powder Sticks anytime, anywhere. Just add water and go! Add one powder stick packet to 12-16 oz. of water and you have Essential Energy on the go. CELSIUS® On-the-Go Powder Sticks have the perfect balance of flavor and energy that serve as an awesome pick-me-up for active lifestyles. One powder stick is equal to one CELSIUS ready-to-drink can, and each box comes with 14 powder stick packets. Make CELSIUS® Essential Energy your go to pick-me-up– anytime, any place!","On-the-Go Powder Sticks provide balanced energy with 200mg of caffeine to help you LIVE FIT | Made with premium, proven ingredients and 7 essential vitamins | Perfect for travel and keeping you energized while on the move | Gluten-Free, Kosher, Non-GMO, & Certified Vegan | Just add water and go | Give yourself a sweet and refreshing berry-flavored energy boost with CELSIUS Berry On-the-Go Powder Sticks",https://www.amazon.com/CELSIUS-Berry-Powder-Stick-Sticks/dp/B002RSRURY/ref=sr_1_10?dib=eyJ2IjoiMSJ9.ZBUOAGcUat0F0uZl7_Z5halk4eUiEJPkTpgYAvnpiYzGpDmyA9882WZKnP8rRhEmslCkzcHFOxo3CgDPyl_T-BOrFwpHntt0n7rOYXjmNHKRDXtbeGNuqCcK0qoqyZTp0jyrS06WEs1D0fnWNzh_I05HRKjuLX9peOn2pcGhCv1xdx-ql9yoH3XUb9wOIATS-k4xtvvx93qDAJcV2jFmVBTxItcH_YqP2K2eSXZHredWI0ehzVpoj8Sr24-PZ4svAQ1Ol39bX-qNi-MHCqsq1pKqQDe0VMCiX68oaA5DnKc.ChVXn8dBxBH_3y3N7k4x7-JXGlYlcQ3CiIU2EfQyvoI&dib_tag=se&keywords=Celsius+energy+drink&qid=1778705575&sr=8-10,2026-05-13 16:52:59
B0038NEOKS,Ghost energy drink,"AdvoCare Spark - Energy Drink Mix - Vitamin & Amino Acid Supplement - Supports Energy & Focus - Portable Immune Support - Sugar-Free - Fruit Punch, (10.5 oz)",AdvoCare,49.5,4.6,2616.0,,"Health, Household & Baby Care; Health & Household; Diet & Sports Nutrition; Endurance & Energy; Powders",,"Functional Energy: AdvoCare Spark delivers 120 mg caffeine for smooth, sustained energy without the crash to fuel your brightest days* | Clean Energy, Laser Focus*: This supplement for energy and mental focus is built on a science-backed formula designed to charge your mind and body without the jitters* | Immune Support & Zero Sugar*: Each clean energy powder mix delivers a nutritional drink with 200% DV Vitamin C for immune support, 0g sugar, and craveable flavors* | Portable Energy Support: Each hydration powder tub contains 10.5 ounces total, including essential vitamins, amino acids, and caffeine to work against fatigue felt from GLP-1 programs* | About AdvoCare: We are dedicated to providing world-class products and education to help you perform and feel your best",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1OTIxNzk3MzMxOTcwNjMzOjE3Nzg3MDU3MzU6c3BfbXRmOjMwMTIxNzk1MDI4NTkwMjo6MDo6&url=%2FAdvoCare-Spark-Canister-Fruit-Punch%2Fdp%2FB0038NEOKS%2Fref%3Dsr_1_14_sspa%3Fdib%3DeyJ2IjoiMSJ9.34_qV_CobJN405BnzfNFv6Fq3KrZ3WhwEu_I--pwEDDqfNbTOwwLyu7QG7xf94BnSlsmOj4e8XEZzh3-CrgGpcb7bDEwkNSpsODmEuAUlxdDzspgbYt7hwBDArkCbKru406kZ0mG8NX1HydZ811uivoxNAC4Lg0AUw_pIexrbj62wM2K0TguMrdTH6blulnHaWjaxp4aYsQ8FA5RL8Ffo5doAuogO8_jgAXZltyYwQzRvDWuq_DjxS0Qe5PZFg7HGMkz3rL9z94o9IO_lIykvz6dWkG3l-norsz7w-1Nyxc.UAZO9HPBprhva9t_f2tsMMQ0vedYpSf9SBbIaCBlNxA%26dib_tag%3Dse%26keywords%3DGhost%2Benergy%2Bdrink%26qid%3D1778705735%26sr%3D8-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,2026-05-13 16:55:39
B0050MMKBA,Celsius energy drink,"CELSIUS Fitness Drink 9-Flavor Variety Pack, Zero Sugar, Slim Can 12 Fl Oz (Pack of 12)",Celsius,38.0,4.5,2199.0,,"Grocery & Gourmet Food; Beverages; Bottled Beverages, Water & Drink Mixes; Energy Drinks","CELSIUS. Live Fit. A uniquely blended formula with healthy energy and key vitamins make CELSIUS an ideal pre-workout drink. It’s low in sodium and contains zero sugar, no aspartame, and no artificial flavors, colors, or preservatives. CELSIUS energy drinks are also Certified Vegan, Kosher, and non-GMO. Its proprietary formula contains green tea extract and EGCG. It also includes guarana seed extract, ginger root for flavor and digestion, vitamin C to support your immune system, vitamin B for energy production, and chromium to help control hunger.","Pre-Workout Drink | Energy to Live Fit | 200 mg Caffeine | Zero Sugars, Zero Preservatives | No Artificial Flavors or Colors",https://www.amazon.com/CELSIUS-Fitness-Drink-9-Flavor-Variety/dp/B0050MMKBA/ref=sr_1_17?dib=eyJ2IjoiMSJ9.ZBUOAGcUat0F0uZl7_Z5halk4eUiEJPkTpgYAvnpiYzGpDmyA9882WZKnP8rRhEmslCkzcHFOxo3CgDPyl_T-BOrFwpHntt0n7rOYXjmNHKRDXtbeGNuqCcK0qoqyZTp0jyrS06WEs1D0fnWNzh_I05HRKjuLX9peOn2pcGhCv1xdx-ql9yoH3XUb9wOIATS-k4xtvvx93qDAJcV2jFmVBTxItcH_YqP2K2eSXZHredWI0ehzVpoj8Sr24-PZ4svAQ1Ol39bX-qNi-MHCqsq1pKqQDe0VMCiX68oaA5DnKc.ChVXn8dBxBH_3y3N7k4x7-JXGlYlcQ3CiIU2EfQyvoI&dib_tag=se&keywords=Celsius+energy+drink&qid=1778705575&sr=8-17,2026-05-13 16:52:59
B00I5LNILE,Alani Nu energy drink,"GURU Energy Drink Original, Organic Sparkling Energy Drink, 140 MG Natural Caffeine for Workouts, Performance & Midday Boost, Plant Based, Gluten Free, Vegan, 12 Fl Oz, 12 Pack.",GURU,32.99,4.2,1391.0,,"Grocery & Gourmet Food; Beverages; Bottled Beverages, Water & Drink Mixes; Energy Drinks",,"ORGANIC PLANT BASED ENERGY: GURU is made with the best organic ingredients - not packed with synthetic ingredients and sugar like traditional energy drinks that leave you jittery and crashing in the afternoon. We know when energy comes directly from earthy, organic sources, it’s got to be good and long lasting! | 140 MG NATURAL CAFFEINE THAT LASTS: Use as pre workout drinks or anytime you need a pick me up. GURU Original 12oz has 140mg of caffeine per can and supports increased concentration, physical vitality, and provides sustained energy with naturally occurring caffeine from green tea and guarana. | VEGAN, GLUTEN FREE & NON GMO: We’re dedicated to bringing you good energy in every way possible, from using real ingredients, to how we source and produce our great-tasting energy drinks. That’s why our drinks are USDA organic, non GMO, gluten free, vegan, and made with zero sucralose, and zero aspartame. | SPREAD FEEL GOOD ENERGY: Organic energy drinks crafts with plant based ingredients. GURU is about helping you blaze new trails, reach new heights, and find your true nature. Help us share good energy, inspire communities and be a GURU to others!",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNzM3NTQ2MTY2MjY2NTc3OjE3Nzg3MDU4OTU6c3BfYXRmOjMwMTIwMzg3MDkwOTYwMjo6MDo6&url=%2FGURU-Original-Workout-Caffeine-Performance%2Fdp%2FB00I5LNILE%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.HMKeRJYOdRpmpPAO3SaPT3it_yKih9w1CrZLnVaz6G5wB-RPX54DFMUoraHe9mfeEHCVbENVSlWRspCx37Ys-KhZ3_OIqyHWSdW3AEYKEHBOgHCIqCjAIsLgrMr_03wkxkphpQD0yxy8PsFnkapE2-8kdjEp1zrf7fKj3B5EAsIPidAO-YP9u_LIyW9ZQ1r8zof1i9rrTosgScJO2Ym5AOfziIiyUWNxZiHvh7CrDdZFyVREwMQ55fhkE7iR3x5Ucu3Cd93AfSTxMlYaHBOaXOjm3Ip-IizYW5hqEXYoS8M.x-0sVGCjUjbiF30l4aR-wIq4jPfGALUrKMbAXLRpxSY%26dib_tag%3Dse%26keywords%3DAlani%2BNu%2Benergy%2Bdrink%26qid%3D1778705895%26rdc%3D1%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2026-05-13 16:58:18
B00IB9RZSM,Monster energy drink,"Monster Energy Import, Energy Drink, 18.6 Ounce | Pack of 12",Monster,31.99,4.6,4292.0,,"Grocery & Gourmet Food; Beverages; Bottled Beverages, Water & Drink Mixes; Energy Drinks","While in Europe at the Spanish MotoGP, we saw a cool re-sealable can and knew it was perfect for Monster. The can company said, “only available in Europe.” We said, “B.S., we gotta have it!"" Of course we got the can, brewed up our own super-premium Imported Monster in Amsterdam and sold so much of it we ran out. So we started up production right here in the good old U.S.A. Same can, same great taste, same winning formula and big bad buzz. What a country! If you can open and close the can with one hand you probably dated a lot when you were younger. One Hand No Hassle!","The best of Monster and Lo-Carb combined with a unique flavor enhancer | 90 calories per 8 oz. serving | A good clean, smooth Euro flavor, with 25% more of the Monster Energy buzz | Monster packs a powerful punch but has a smooth easy drinking flavor",https://www.amazon.com/Monster-Energy-Drink-18-6-Ounce/dp/B00IB9RZSM/ref=sr_1_11?dib=eyJ2IjoiMSJ9.-uoloj3tVAf5xFumxrzE6Okrj9UqWggFE6e7ioi6MSHDfxHCWUKBNWyQptlmWCadtLkDtLtMgKWI_U4kHTXdOv00w1OJ5Gb3XTSWkV8Ff26Ay0ZNsgYNeHSalAc47tROLHLrO2NWjNeB43D7FN4Fzm2Z31Npuxj5gO7akYA4bDqw09wzAGrvRHBiGuPiHWuS489EUw8TjTedYuu7epGNZvQExHZnIKzOxlETV455QJwZt5T3k8BfOglxx5xO70sCrXPeKTu5dYspy12v_8bLU86XwICDPc-zMeRE630iimY.xf6n_Gj2ZV-igSUKE59cYBHVQykF-NwV3-o2n4_YBz4&dib_tag=se&keywords=Monster+energy+drink&qid=1778706044&rdc=1&sr=8-11,2026-05-13 17:00:47
B07BY3HJPT,Celsius energy drink,"CELSIUS Sparkling Kiwi Guava, Sugar Free Energy Drink, 12 Fl Oz (Pack of 12)",Celsius,15.0,4.7,7451.0,,"Grocery & Gourmet Food; Beverages; Bottled Beverages, Water & Drink Mixes; Energy Drinks","CELSIUS® is Functional, Essential Energy, a better-for-you, premium alternative to traditional energy drinks. As a global, lifestyle fitness drink, CELSIUS® was created to help people LIVE FIT, exceed their goals and elevate their everyday lives. Made with proven, premium ingredients, 7 Essential Vitamins and zero sugar, no artificial colors, no aspartame, no high fructose corn syrup and non-GMO. CELSIUS® is vegan, gluten-free and Kosher. Our proprietary MetaPlus blend contains green tea extract with EGCG. It also includes guarana seed extract, ginger root for flavor and digestion, vitamin C to help support your immune system, vitamin B for energy production, and chromium to help control hunger, making it an ideal pre-workout drink. The tart and sweet flavors of kiwi combined with the unique juiciness of guava, packs a refreshingly tropical flavor into each sip of CELSIUS® Sparkling Kiwi Guava! Made with clinically proven ingredients, this carbonated flavor of CELSIUS® has the perfect balance of flavor and energy that serves as an awesome pick-me-up for active lifestyles. Make CELSIUS® your go to choice for Essential Energy! CELSIUS® is available in 12 fl oz slim cans and sold in a 12-pack for convenience.",No Sugar,https://www.amazon.com/CELSIUS-Sparkling-Guava-Fitness-Drink/dp/B07BY3HJPT/ref=sr_1_5?dib=eyJ2IjoiMSJ9.ZBUOAGcUat0F0uZl7_Z5halk4eUiEJPkTpgYAvnpiYzGpDmyA9882WZKnP8rRhEmslCkzcHFOxo3CgDPyl_T-BOrFwpHntt0n7rOYXjmNHKRDXtbeGNuqCcK0qoqyZTp0jyrS06WEs1D0fnWNzh_I05HRKjuLX9peOn2pcGhCv1xdx-ql9yoH3XUb9wOIATS-k4xtvvx93qDAJcV2jFmVBTxItcH_YqP2K2eSXZHredWI0ehzVpoj8Sr24-PZ4svAQ1Ol39bX-qNi-MHCqsq1pKqQDe0VMCiX68oaA5DnKc.ChVXn8dBxBH_3y3N7k4x7-JXGlYlcQ3CiIU2EfQyvoI&dib_tag=se&keywords=Celsius+energy+drink&qid=1778705575&sr=8-5,2026-05-13 16:52:59
B07FP2KHW1,Alani Nu energy drink,"Hiball Clean Energy Drink - Variety Pack - Zero Sugar, Zero Calorie Sparkling Water with 160mg Organic Caffeine, 50mg Organic Ginseng, 50mg Organic Guarana and B Vitamins - 16 fl oz (8-Pack)",,23.99,4.2,1766.0,,"Grocery & Gourmet Food; Beverages; Bottled Beverages, Water & Drink Mixes; Water; Seltzer Water","Looking to stay hydrated but want to avoid adding extra sugar and calories to your diet? Hiball is your new go-to drink. Hiball Energy Sparkling Water is infused with 160 mg of organic caffeine, 50 mg of organic ginseng, 50 mg of organic guarana, and B vitamins (B-3, B-5, B-6, & B-12), with a hint of natural fruit flavor. This seltzer is sugar free, gluten-free, zero calorie, keto friendly, has no carbs, no preservatives, no artificial sweeteners, no taurine and is 100% vegan. This is a healthy natural energy drink that can be incorporated into any diet without any added guilt! Hiball comes in 7 flavors: grapefruit, lemon lime, peach, blackberry, vanilla, wild berry, and watermelon mint. Enjoy Hiball whenever you need a boost of energy, including: after a long day of work, in place of a morning coffee break, pre-workout or post-workout. When it comes to beverages, Hiball Energy keeps it simple and straightforward to help you choose something that makes you feel your best. Hiball is not recommended for individuals sensitive to caffeine, anyone under the age of 18 or women who are pregnant or nursing.","Feel the energy: Made with clean ingredients, each zero calorie can of Hiball seltzer is sugar free, delivering an instant, long-lasting energy boost so you can feel alert and energized to tackle your day | Powered by natural ingredients: Packed with 160mg organic caffeine, 50mg organic guarana, 50mg organic ginseng and B vitamins (B3, B5, B6, B12), Hiball seltzer water provides enhanced mental focus | Feel good with zero compromise: Helps provide sustained energy without a crash, Hiball pure sparkling water is a cleaner alternative to traditional energy and vitamin drinks with no artificial ingredients | Delicious natural flavors: Available in 6 zero-calorie natural flavors from sweet vanilla to fresh grapefruit, our Hiball seltzer energy drink is keto friendly, vegan, and taurine-free to add liveliness to your day | Ready for anything: Hiball caffeinated seltzer water is made to fit into any routine whether it’s your coffee substitute, post-work beverage, or the energy boost that helps you crush your workout; Packaged in durable cans, Hiball is easy to take on-the-go",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNzM3NTQ2MTY2MjY2NTc3OjE3Nzg3MDU4OTU6c3BfbXRmOjMwMTIwNTE2Mzk5ODUwMjo6MDo6&url=%2FHiball-Energy-Sparkling-Variety-Calorie%2Fdp%2FB07FP2KHW1%2Fref%3Dsr_1_20_sspa%3Fdib%3DeyJ2IjoiMSJ9.HMKeRJYOdRpmpPAO3SaPT3it_yKih9w1CrZLnVaz6G5wB-RPX54DFMUoraHe9mfeEHCVbENVSlWRspCx37Ys-KhZ3_OIqyHWSdW3AEYKEHBOgHCIqCjAIsLgrMr_03wkxkphpQD0yxy8PsFnkapE2-8kdjEp1zrf7fKj3B5EAsIPidAO-YP9u_LIyW9ZQ1r8zof1i9rrTosgScJO2Ym5AOfziIiyUWNxZiHvh7CrDdZFyVREwMQ55fhkE7iR3x5Ucu3Cd93AfSTxMlYaHBOaXOjm3Ip-IizYW5hqEXYoS8M.x-0sVGCjUjbiF30l4aR-wIq4jPfGALUrKMbAXLRpxSY%26dib_tag%3Dse%26keywords%3DAlani%2BNu%2Benergy%2Bdrink%26qid%3D1778705895%26sr%3D8-20-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,2026-05-13 16:58:18
B07PMLBFKG,Alani Nu energy drink,"Alani Nu HAWAIIAN SHAVED ICE, Sugar Free, Low Calorie Energy Drinks, 200mg Caffeine, Biotin, B Vitamins, Zero Sugar, 10 Calories, 12 Fl Oz Cans, 12 Pack",Alani Nu,19.98,4.5,2815.0,,"Grocery & Gourmet Food; Beverages; Bottled Beverages, Water & Drink Mixes; Energy Drinks",,"FEEL GOOD ENERGY: Fuel your fun with Alani Nu Energy! Our best-selling, zero-sugar boost stars antioxidants, ginseng root, and 200mg of caffeine. Bold in flavor, low in calories, Alani helps you drink in the day—one delicious sip at a time. | BEAMING WITH B VITAMINS: Wave buh-bye to burnout! Our blend of B3, B5, B6, and B12 vitamins keeps you glowing strong—even on your busiest days. | REFRESHINGLY FUN FLAVORS: Just like you, our flavors are unapologetically bold! Sweet or tart, tropical or nostalgic—there's an Alani Nu for every vibe and every you. | ELEVATE EVERY MOMENT: From on-the-go boosts to self-care staples, Alani Nu brings vibrancy to all your daily routines with easy-to-love essentials in the delicious, low-sugar flavors of your dreams. | VEGAN, GLUTEN FREE AND NO ARTIFICIAL COLORS: Good energy is a good choice. Our Better-for-you beverages are made vegan, gluten free and without artificial colors to ensure that our drinks and snacks support your beauty and wellness goals from the inside out",https://www.amazon.com/Alani-Nu-Energy-Hawaiian-Shaved/dp/B07PMLBFKG/ref=sr_1_6?dib=eyJ2IjoiMSJ9.HMKeRJYOdRpmpPAO3SaPT3it_yKih9w1CrZLnVaz6G5wB-RPX54DFMUoraHe9mfeEHCVbENVSlWRspCx37Ys-KhZ3_OIqyHWSdW3AEYKEHBOgHCIqCjAIsLgrMr_03wkxkphpQD0yxy8PsFnkapE2-8kdjEp1zrf7fKj3B5EAsIPidAO-YP9u_LIyW9ZQ1r8zof1i9rrTosgScJO2Ym5AOfziIiyUWNxZiHvh7CrDdZFyVREwMQ55fhkE7iR3x5Ucu3Cd93AfSTxMlYaHBOaXOjm3Ip-IizYW5hqEXYoS8M.x-0sVGCjUjbiF30l4aR-wIq4jPfGALUrKMbAXLRpxSY&dib_tag=se&keywords=Alani+Nu+energy+drink&qid=1778705895&sr=8-6,2026-05-13 16:58:18
B07WV6FGM2,Ghost energy drink,"Xwerks Ignite Pre Workout Powder for Men and Women, Natural Preworkout Energy Drink Powder, Gluten Free Keto Formula for Endurance Stamina and Workout Focus, 150 mg Caffeine, 30 Servings, Watermelon",Xwerks,48.99,4.1,115.0,,"Health, Household & Baby Care; Health & Household; Diet & Sports Nutrition; Sports Nutrition; Pre-Workout; Powders",,"Clean Pre Workout Energy Formula: Formulated with a balanced blend of caffeine, amino acids, minerals, and vitamins designed to deliver steady workout energy without overwhelming stimulants. The advantage of this approach is smoother performance support that feels consistent from warm-up through final sets. The benefit is dependable energy and focus that fits strength training, conditioning sessions, and daily workouts without artificial colors or unnecessary fillers | Optimized Caffeine For Focus And Drive: Each serving provides 150 mg of caffeine to help support alertness and training intensity. This moderate dose offers an advantage over overly aggressive formulas by helping maintain clarity and motivation without abrupt spikes. The result is improved workout engagement, better pacing, and sustained effort during resistance training, cardio sessions, or early morning workouts | Supports Endurance And Training Output: Designed to help you push through demanding workouts, this pre workout powder supports stamina and repeated effort during high-volume or high-intensity training. The advantage is improved work capacity across sets and circuits. The benefit is the ability to train longer and maintain output, making it suitable for athletes focused on consistency and progression | Keto And Gluten Free Daily Use Option: Ignite is formulated to fit keto and gluten free nutrition preferences, making it easy to integrate into structured training routines. This advantage supports flexibility across different dietary approaches. The benefit is a pre workout powder that aligns with long-term fitness habits and can be used consistently without disrupting nutrition plans | Easy To Mix And Great Tasting: This pre workout powder mixes smoothly in water or juice and is available in refreshing flavors like Watermelon, Orange, Green Apple, and Blue Razz. The advantage is a simple, enjoyable preparation process with no heavy texture. The benefit is a pre workout experience that feels convenient and approachable, encouraging regular use before training",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1OTIxNzk3MzMxOTcwNjMzOjE3Nzg3MDU3MzU6c3BfbXRmOjMwMTE3NzQzNTg5MTYwMjo6MDo6&url=%2FXwerks-Ignite-Pre-Workout-Supplement-Watermelon%2Fdp%2FB07WV6FGM2%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.34_qV_CobJN405BnzfNFv6Fq3KrZ3WhwEu_I--pwEDDqfNbTOwwLyu7QG7xf94BnSlsmOj4e8XEZzh3-CrgGpcb7bDEwkNSpsODmEuAUlxdDzspgbYt7hwBDArkCbKru406kZ0mG8NX1HydZ811uivoxNAC4Lg0AUw_pIexrbj62wM2K0TguMrdTH6blulnHaWjaxp4aYsQ8FA5RL8Ffo5doAuogO8_jgAXZltyYwQzRvDWuq_DjxS0Qe5PZFg7HGMkz3rL9z94o9IO_lIykvz6dWkG3l-norsz7w-1Nyxc.UAZO9HPBprhva9t_f2tsMMQ0vedYpSf9SBbIaCBlNxA%26dib_tag%3Dse%26keywords%3DGhost%2Benergy%2Bdrink%26qid%3D1778705735%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,2026-05-13 16:55:39
B08MW9LXK7,Ghost energy drink,"GHOST Energy Drink - 12-Pack, Warheads Sour Watermelon, 16oz - Energy & Focus & No Artificial Colors - 200mg of Natural Caffeine, L-Carnitine & Taurine - Gluten-Free & Vegan",Ghost,29.99,4.6,13570.0,,"Grocery & Gourmet Food; Beverages; Bottled Beverages, Water & Drink Mixes; Energy Drinks",,"Feel Good Energy: GHOST Energy is the fully transparent, fully loaded energy drink we’ve all been waiting for. Authentic Flavors. Zero Sugars.* No BS. Authentic Warheads “Sour Watermelon” flavor. 12-pack case contains 16oz cans. Only intended for persons 18 years or older. *GHOST Energy is low in calories. | Legendary Energy: This drink contains 200mg of Natural Caffeine from coffee beans, which has been found anecdotally to deliver a smooth, feel-good energy with less jitters and no crash when compared to other forms of caffeine.* | Epic Focus*: GHOST Energy combines the nootropics of Carnipure L-Carnitine, Alpha-GPC, NeuroFactor, and AstraGin. | Total Transparency: All GHOST products feature a transparent label that fully discloses the dose of each active ingredient. Zero proprietary blends means you know what you’re getting in each and every sip. GHOST Energy is vegan friendly, gluten free, and contains zero sugars.* *GHOST Energy is low in calories. | Energy and Focus Combo: GHOST Energy is a full disclosure energy drink that delivers on efficacy and the info to ensure you know exactly what you're getting in every can. Combining 200mg of natural caffeine with nootropics to deliver a legendary combo of energy and focus.*",https://www.amazon.com/GHOST-ENERGY-Sugar-Free-Energy-Drink/dp/B08MW9LXK7/ref=sr_1_5?dib=eyJ2IjoiMSJ9.34_qV_CobJN405BnzfNFv6Fq3KrZ3WhwEu_I--pwEDDqfNbTOwwLyu7QG7xf94BnSlsmOj4e8XEZzh3-CrgGpcb7bDEwkNSpsODmEuAUlxdDzspgbYt7hwBDArkCbKru406kZ0mG8NX1HydZ811uivoxNAC4Lg0AUw_pIexrbj62wM2K0TguMrdTH6blulnHaWjaxp4aYsQ8FA5RL8Ffo5doAuogO8_jgAXZltyYwQzRvDWuq_DjxS0Qe5PZFg7HGMkz3rL9z94o9IO_lIykvz6dWkG3l-norsz7w-1Nyxc.UAZO9HPBprhva9t_f2tsMMQ0vedYpSf9SBbIaCBlNxA&dib_tag=se&keywords=Ghost+energy+drink&qid=1778705735&rdc=1&sr=8-5,2026-05-13 16:55:39
