brand,theme,model,n,pct_pos,pct_neg,pct_neu,mean_score
5-hour Energy,energy,lexicon,171,11.7,9.9,78.4,0.0058
5-hour Energy,packaging,lexicon,32,9.4,9.4,81.2,0.0092
5-hour Energy,taste,lexicon,19,26.3,31.6,42.1,-0.0035
5-hour Energy,crash,lexicon,17,23.5,35.3,41.2,-0.0322
5-hour Energy,health,lexicon,6,16.7,0.0,83.3,0.0606
5-hour Energy,sweetness,lexicon,4,0.0,25.0,75.0,-0.0248
5-hour Energy,price,lexicon,2,50.0,0.0,50.0,0.1622
AdvoCare,taste,lexicon,4,100.0,0.0,0.0,0.3106
AdvoCare,energy,lexicon,4,75.0,25.0,0.0,0.2156
AdvoCare,crash,lexicon,3,66.7,33.3,0.0,0.2221
AdvoCare,health,lexicon,3,66.7,33.3,0.0,0.1252
AdvoCare,price,lexicon,2,100.0,0.0,0.0,0.3785
AdvoCare,packaging,lexicon,1,100.0,0.0,0.0,0.3097
AdvoCare,sweetness,lexicon,1,100.0,0.0,0.0,0.1961
Alani Nu,taste,lexicon,143,70.6,8.4,21.0,0.2419
Alani Nu,energy,lexicon,138,54.3,6.5,39.1,0.1572
Alani Nu,packaging,lexicon,84,52.4,7.1,40.5,0.1468
Alani Nu,sweetness,lexicon,38,60.5,5.3,34.2,0.2176
Alani Nu,price,lexicon,25,92.0,0.0,8.0,0.4129
Alani Nu,crash,lexicon,21,57.1,9.5,33.3,0.2304
Alani Nu,health,lexicon,18,72.2,5.6,22.2,0.2651
Bang,energy,lexicon,318,29.6,7.5,62.9,0.0587
Bang,taste,lexicon,176,44.9,13.1,42.0,0.0909
Bang,packaging,lexicon,131,28.2,12.2,59.5,0.0425
Bang,sweetness,lexicon,74,41.9,9.5,48.6,0.0776
Bang,health,lexicon,45,42.2,8.9,48.9,0.082
Bang,crash,lexicon,35,40.0,17.1,42.9,0.0445
Bang,price,lexicon,22,63.6,0.0,36.4,0.1572
Bloom Nutrition,taste,lexicon,16,100.0,0.0,0.0,0.4228
Bloom Nutrition,energy,lexicon,14,85.7,0.0,14.3,0.3167
Bloom Nutrition,packaging,lexicon,9,88.9,0.0,11.1,0.1869
Bloom Nutrition,sweetness,lexicon,7,100.0,0.0,0.0,0.3951
Bloom Nutrition,crash,lexicon,6,100.0,0.0,0.0,0.4059
Bloom Nutrition,health,lexicon,5,100.0,0.0,0.0,0.3098
Bloom Nutrition,price,lexicon,4,100.0,0.0,0.0,0.3274
C4,energy,lexicon,173,42.2,5.8,52.0,0.1105
C4,packaging,lexicon,67,38.8,10.4,50.7,0.0929
C4,taste,lexicon,57,61.4,7.0,31.6,0.1711
C4,sweetness,lexicon,24,58.3,0.0,41.7,0.2047
C4,crash,lexicon,22,45.5,13.6,40.9,0.1472
C4,health,lexicon,17,64.7,0.0,35.3,0.2281
C4,price,lexicon,14,78.6,7.1,14.3,0.2499
Celsius,energy,lexicon,299,47.5,10.0,42.5,0.1192
Celsius,taste,lexicon,244,57.4,9.4,33.2,0.1792
Celsius,packaging,lexicon,192,40.1,10.9,49.0,0.0966
Celsius,sweetness,lexicon,91,58.2,14.3,27.5,0.1702
Celsius,health,lexicon,90,48.9,14.4,36.7,0.1298
Celsius,crash,lexicon,89,44.9,20.2,34.8,0.1215
Celsius,price,lexicon,51,66.7,13.7,19.6,0.251
