brand,t12m_revenue,prior_12m_revenue,yoy_pct,share_pct,share_delta_pp
Red Bull,520947429.77,507572810.91,2.6,37.92,-1.47
Monster,394780253.65,359997198.27,9.7,28.74,0.8
Celsius,101152820.28,93405539.01,8.3,7.36,0.11
Alani Nu,78873464.81,40288079.44,95.8,5.74,2.62
C4,45127140.28,43026927.06,4.9,3.29,-0.05
Ghost,42858175.22,41895524.84,2.3,3.12,-0.13
Rockstar,37161730.91,39802023.9,-6.6,2.71,-0.38
NOS,36235073.37,37570663.37,-3.6,2.64,-0.28
Reign,24346064.77,29228660.54,-16.7,1.77,-0.5
Bang,21945063.61,25986114.56,-15.6,1.6,-0.42
Full Throttle,10463914.84,11195992.9,-6.5,0.76,-0.11
Venom,6688667.99,7063447.62,-5.3,0.49,-0.06
Bucked Up,6097316.17,5193798.88,17.4,0.44,0.04
Rip It,5413265.02,5162255.92,4.9,0.39,-0.01
Guayaki,4588052.2,4232418.08,8.4,0.33,0.01
Arizona Energy,3615332.25,3608680.85,0.2,0.26,-0.02
1st Phorm,2957773.81,635077.39,365.7,0.22,0.17
Uptime,2429713.69,3035215.68,-19.9,0.18,-0.06
REDCON1,2411912.35,2430073.85,-0.7,0.18,-0.01
Ryse,2212656.25,2944900.76,-24.9,0.16,-0.07
Bloom,2242785.84,113274.85,1880.0,0.16,0.15
Mtn Dew (energy),2002993.77,3902261.48,-48.7,0.15,-0.16
