family,month,mentions_12m,videos_12m,soc_share
Watermelon,2019-12,0,151,0.0
Coffee & cream,2019-12,19,151,0.129252
Sour & candy,2019-12,16,151,0.108844
Cola & soda,2019-12,10,151,0.068027
Berry,2019-12,18,151,0.122449
Tropical,2019-12,12,151,0.081633
Citrus,2019-12,16,151,0.108844
Grape,2019-12,5,151,0.034014
Apple & pear,2019-12,14,151,0.095238
Peach & stone fruit,2019-12,11,151,0.07483
Tea & botanical,2019-12,16,151,0.108844
Punch & mixed fruit,2019-12,10,151,0.068027
Watermelon,2020-01,0,157,0.0
Coffee & cream,2020-01,19,157,0.11875
Sour & candy,2020-01,16,157,0.1
Cola & soda,2020-01,12,157,0.075
Berry,2020-01,22,157,0.1375
Tropical,2020-01,15,157,0.09375
Citrus,2020-01,18,157,0.1125
Grape,2020-01,5,157,0.03125
Apple & pear,2020-01,16,157,0.1
Peach & stone fruit,2020-01,11,157,0.06875
Tea & botanical,2020-01,16,157,0.1
Punch & mixed fruit,2020-01,10,157,0.0625
Watermelon,2020-02,0,162,0.0
Coffee & cream,2020-02,18,162,0.108434
Sour & candy,2020-02,16,162,0.096386
Cola & soda,2020-02,13,162,0.078313
Berry,2020-02,24,162,0.144578
Tropical,2020-02,15,162,0.090361
Citrus,2020-02,19,162,0.114458
Grape,2020-02,6,162,0.036145
Apple & pear,2020-02,18,162,0.108434
Peach & stone fruit,2020-02,11,162,0.066265
Tea & botanical,2020-02,15,162,0.090361
Punch & mixed fruit,2020-02,11,162,0.066265
Watermelon,2020-03,1,168,0.006061
Coffee & cream,2020-03,19,168,0.115152
Sour & candy,2020-03,15,168,0.090909
Cola & soda,2020-03,13,168,0.078788
Berry,2020-03,25,168,0.151515
Tropical,2020-03,14,168,0.084848
Citrus,2020-03,21,168,0.127273
Grape,2020-03,6,168,0.036364
Apple & pear,2020-03,16,168,0.09697
Peach & stone fruit,2020-03,10,168,0.060606
Tea & botanical,2020-03,15,168,0.090909
Punch & mixed fruit,2020-03,10,168,0.060606
Watermelon,2020-04,1,160,0.006849
Coffee & cream,2020-04,21,160,0.143836
Sour & candy,2020-04,12,160,0.082192
Cola & soda,2020-04,12,160,0.082192
Berry,2020-04,22,160,0.150685
Tropical,2020-04,14,160,0.09589
Citrus,2020-04,19,160,0.130137
Grape,2020-04,5,160,0.034247
Apple & pear,2020-04,12,160,0.082192
Peach & stone fruit,2020-04,6,160,0.041096
Tea & botanical,2020-04,12,160,0.082192
Punch & mixed fruit,2020-04,10,160,0.068493
Watermelon,2020-05,2,161,0.012821
Coffee & cream,2020-05,24,161,0.153846
Sour & candy,2020-05,14,161,0.089744
Cola & soda,2020-05,12,161,0.076923
Berry,2020-05,23,161,0.147436
Tropical,2020-05,14,161,0.089744
Citrus,2020-05,21,161,0.134615
Grape,2020-05,4,161,0.025641
Apple & pear,2020-05,13,161,0.083333
Peach & stone fruit,2020-05,7,161,0.044872
Tea & botanical,2020-05,12,161,0.076923
Punch & mixed fruit,2020-05,10,161,0.064103
Watermelon,2020-06,2,166,0.013245
Coffee & cream,2020-06,24,166,0.15894
Sour & candy,2020-06,13,166,0.086093
Cola & soda,2020-06,11,166,0.072848
Berry,2020-06,23,166,0.152318
Tropical,2020-06,13,166,0.086093
Citrus,2020-06,20,166,0.13245
Grape,2020-06,3,166,0.019868
Apple & pear,2020-06,12,166,0.07947
Peach & stone fruit,2020-06,5,166,0.033113
Tea & botanical,2020-06,16,166,0.10596
Punch & mixed fruit,2020-06,9,166,0.059603
Watermelon,2020-07,2,167,0.012987
Coffee & cream,2020-07,28,167,0.181818
Sour & candy,2020-07,12,167,0.077922
Cola & soda,2020-07,9,167,0.058442
Berry,2020-07,24,167,0.155844
Tropical,2020-07,15,167,0.097403
Citrus,2020-07,21,167,0.136364
Grape,2020-07,3,167,0.019481
Apple & pear,2020-07,11,167,0.071429
Peach & stone fruit,2020-07,6,167,0.038961
Tea & botanical,2020-07,18,167,0.116883
Punch & mixed fruit,2020-07,5,167,0.032468
Watermelon,2020-08,2,167,0.013072
Coffee & cream,2020-08,29,167,0.189542
Sour & candy,2020-08,11,167,0.071895
Cola & soda,2020-08,9,167,0.058824
Berry,2020-08,23,167,0.150327
Tropical,2020-08,16,167,0.104575
Citrus,2020-08,21,167,0.137255
Grape,2020-08,2,167,0.013072
Apple & pear,2020-08,11,167,0.071895
Peach & stone fruit,2020-08,7,167,0.045752
Tea & botanical,2020-08,18,167,0.117647
Punch & mixed fruit,2020-08,4,167,0.026144
Watermelon,2020-09,4,182,0.02139
Coffee & cream,2020-09,33,182,0.176471
Sour & candy,2020-09,17,182,0.090909
Cola & soda,2020-09,11,182,0.058824
Berry,2020-09,26,182,0.139037
Tropical,2020-09,21,182,0.112299
Citrus,2020-09,25,182,0.13369
Grape,2020-09,2,182,0.010695
Apple & pear,2020-09,14,182,0.074866
Peach & stone fruit,2020-09,8,182,0.042781
Tea & botanical,2020-09,22,182,0.117647
Punch & mixed fruit,2020-09,4,182,0.02139
Watermelon,2020-10,4,178,0.021505
Coffee & cream,2020-10,34,178,0.182796
Sour & candy,2020-10,18,178,0.096774
Cola & soda,2020-10,10,178,0.053763
Berry,2020-10,26,178,0.139785
Tropical,2020-10,22,178,0.11828
Citrus,2020-10,22,178,0.11828
Grape,2020-10,2,178,0.010753
Apple & pear,2020-10,13,178,0.069892
Peach & stone fruit,2020-10,9,178,0.048387
Tea & botanical,2020-10,22,178,0.11828
Punch & mixed fruit,2020-10,4,178,0.021505
Watermelon,2020-11,5,186,0.026178
