claim,pct_2018_2020,pct_2024_2026,delta_pp,n_total
Functional - Brain & Nervous System,25.8,53.8,28.0,214
Sugar Free,48.5,72.3,23.8,315
Vegan/No Animal Ingredients,15.7,30.7,15.0,124
Functional - Other,15.2,26.1,10.9,109
Nails & Hair,0.0,10.6,10.6,32
Functional - Skin,0.0,10.6,10.6,32
Ease of Use,6.1,16.5,10.4,62
Functional - Immune System,0.5,9.2,8.7,29
Low/No/Reduced Allergen,30.8,39.3,8.5,180
Gluten Free,30.8,38.9,8.1,179
Time/Speed,6.6,13.5,7.0,54
Plant Based,1.5,7.9,6.4,27
Seasonal,2.5,7.9,5.4,29
On-the-Go,8.6,13.9,5.3,59
Functional - Slimming,8.6,13.2,4.6,57
Functional - Energy,95.5,99.0,3.6,489
Kosher,24.2,27.1,2.8,130
Free from Added/Artificial Colourings,34.8,35.6,0.8,177
GMO Free,17.2,17.8,0.7,88
Organic,8.6,8.3,-0.3,42
No Additives/Preservatives,39.4,38.9,-0.5,196
Vitamin/Mineral Fortified,56.1,54.8,-1.3,277
Social Media,30.3,28.4,-1.9,146
No Added Sugar,8.6,6.6,-2.0,37
Antioxidant,12.1,6.9,-5.2,45
Low/No/Reduced Calorie,35.9,29.4,-6.5,160
Ethical - Recycling,47.5,38.9,-8.5,212
Ethical - Environmentally Friendly Package,47.5,38.9,-8.5,212
Free from Added/Artificial Flavourings,24.7,13.5,-11.2,90
Free from Added/Artificial Preservatives,15.2,2.6,-12.5,38
