scheme,cluster,month,rev,units,skus,stores,dist_points,stores_active,price_unitvalue,price_index,matched_share,price_index_a,price_index_b,matched_share_a,matched_share_b,units_a,units_b,disc_rate,disc_txn_rate
family,Apple & pear,2019-01,42049.58,19444,6,1521,1835,5148,2.1626,0.93988,1.0,0.93518,0.9457,1.0,1.0,10631,8813,0.6203,0.5071
family,Apple & pear,2019-02,68065.23,31341,5,1653,3159,5939,2.1718,0.98716,1.0,0.98289,0.99158,1.0,1.0,16204,15137,0.603,0.4739
family,Apple & pear,2019-03,111013.96,50143,5,2194,4340,6749,2.2139,1.00749,1.0,1.00469,1.01049,1.0,1.0,25557,24586,0.6008,0.484
family,Apple & pear,2019-04,118046.56,53191,6,2654,4900,7282,2.2193,1.00859,1.0,1.00442,1.01306,1.0,1.0,27214,25977,0.6017,0.4931
family,Apple & pear,2019-05,130600.15,58721,6,3038,5502,7913,2.2241,1.0121,1.0,1.01155,1.01254,1.0,1.0,30032,28689,0.6251,0.5021
family,Apple & pear,2019-06,134455.72,60773,7,3323,6059,8486,2.2124,1.00261,1.0,1.00158,1.00369,1.0,1.0,30843,29930,0.612,0.5024
family,Apple & pear,2019-07,143690.41,65051,8,3585,6605,9021,2.2089,0.99453,1.0,0.99413,0.99457,1.0,1.0,33453,31598,0.6127,0.4948
family,Apple & pear,2019-08,149857.64,67296,7,3795,6996,9456,2.2268,0.99767,1.0,0.99907,0.99626,1.0,1.0,34403,32893,0.6132,0.4999
family,Apple & pear,2019-09,147561.38,65985,9,3934,7237,9882,2.2363,1.00008,1.0,1.0005,0.99996,1.0,1.0,33608,32377,0.6331,0.498
family,Apple & pear,2019-10,157672.91,70715,10,4124,7521,10296,2.2297,0.99684,1.0,1.00099,0.9934,1.0,1.0,35960,34755,0.6272,0.504
family,Apple & pear,2019-11,151453.38,68028,9,4245,7705,10820,2.2263,0.99602,1.0,1.00043,0.99229,1.0,1.0,34389,33639,0.6517,0.5128
family,Apple & pear,2019-12,161031.95,72362,10,4376,8002,11318,2.2254,0.9964,1.0,0.99761,0.99633,1.0,1.0,36576,35786,0.6595,0.5139
family,Apple & pear,2020-01,159339.73,71040,11,4606,8238,11799,2.243,1.00331,0.9996,1.00393,1.00356,0.9996,1.0,36059,34981,0.6292,0.5041
