platform,brand,record_type,record_id,date,engagement_metric,engagement_value,text_sample
amazon,Celsius,product,B002RSRURY,,ratings_total,6898.0,"CELSIUS On-The-Go Powder Stick Packs, Zero Sugar (14 Sticks per Pack), Berry, 2.5 Ounce"
amazon,AdvoCare,product,B0038NEOKS,,ratings_total,2616.0,"AdvoCare Spark - Energy Drink Mix - Vitamin & Amino Acid Supplement - Supports Energy & Focus - Portable Immune Support - Sugar-Free - Fruit Punch, (10.5 oz)"
amazon,Celsius,product,B0050MMKBA,,ratings_total,2199.0,"CELSIUS Fitness Drink 9-Flavor Variety Pack, Zero Sugar, Slim Can 12 Fl Oz (Pack of 12)"
amazon,GURU,product,B00I5LNILE,,ratings_total,1391.0,"GURU Energy Drink Original, Organic Sparkling Energy Drink, 140 MG Natural Caffeine for Workouts, Performance & Midday Boost, Plant Based, Gluten Free, Vegan, 12 Fl Oz, 12 Pack."
amazon,Monster,product,B00IB9RZSM,,ratings_total,4292.0,"Monster Energy Import, Energy Drink, 18.6 Ounce | Pack of 12"
amazon,Celsius,product,B07BY3HJPT,,ratings_total,7451.0,"CELSIUS Sparkling Kiwi Guava, Sugar Free Energy Drink, 12 Fl Oz (Pack of 12)"
amazon,,product,B07FP2KHW1,,ratings_total,1766.0,"Hiball Clean Energy Drink - Variety Pack - Zero Sugar, Zero Calorie Sparkling Water with 160mg Organic Caffeine, 50mg Organic Ginseng, 50mg Organic Guarana and B Vitamins - 16 fl oz (8-Pack)"
amazon,Alani Nu,product,B07PMLBFKG,,ratings_total,2815.0,"Alani Nu HAWAIIAN SHAVED ICE, Sugar Free, Low Calorie Energy Drinks, 200mg Caffeine, Biotin, B Vitamins, Zero Sugar, 10 Calories, 12 Fl Oz Cans, 12 Pack"
amazon,Xwerks,product,B07WV6FGM2,,ratings_total,115.0,"Xwerks Ignite Pre Workout Powder for Men and Women, Natural Preworkout Energy Drink Powder, Gluten Free Keto Formula for Endurance Stamina and Workout Focus, 150 mg Caffeine, 30 Servings, Watermelon"
amazon,Ghost,product,B08MW9LXK7,,ratings_total,13570.0,"GHOST Energy Drink - 12-Pack, Warheads Sour Watermelon, 16oz - Energy & Focus & No Artificial Colors - 200mg of Natural Caffeine, L-Carnitine & Taurine - Gluten-Free & Vegan"
amazon,Celsius,product,B095Q98Z97,,ratings_total,6437.0,"CELSIUS Sparkling Tropical Vibe, Functional Essential Energy Drink 12 Fl Oz (Pack of 12)"
amazon,C4,product,B09FXVQ8WN,,ratings_total,6541.0,C4 Performance Energy Drink | Strawberry Blast | Zero Sugar Carbonated Preworkout Energy | 200mg Caffeine with Beta Alanine | 16 Fl Oz (12 Pack)
