brand,amazon_products,amazon_avg_rating,amazon_avg_price_usd,amazon_reviews,amazon_avg_review_rating,instagram_posts,instagram_total_likes,instagram_total_comments,youtube_videos,youtube_total_views,youtube_avg_views
5-hour Energy,,,,,,,,,53.0,9956252.0,187853.81132075473
AdvoCare,1.0,4.6,49.5,8.0,4.875,,,,,,
Alani Nu,11.0,4.7,25.979090909090907,82.0,4.829268292682927,15.0,1527000.0,240887.0,77.0,2937715.0,38152.142857142855
Bang,,,,,,15.0,35789.0,724.0,122.0,34573252.0,283387.31147540984
Bloom Nutrition,2.0,4.7,24.29,16.0,4.875,,,,,,
C4,3.0,4.6,19.98,29.0,4.793103448275862,,,,,,
Celsius,11.0,4.627272727272727,19.23,91.0,4.846153846153846,15.0,102881.0,3018.0,182.0,6214326.0,34144.64835164835
G Fuel,,,,,,,,,76.0,16345987.0,215078.77631578947
GURU,2.0,3.9000000000000004,32.99,17.0,3.8823529411764706,,,,,,
Ghost,6.0,4.54,38.68666666666667,35.0,4.685714285714286,,,,111.0,7678709.0,69177.55855855856
Liquid Death,2.0,4.25,19.79,16.0,4.625,,,,,,
Liquid I.V.,2.0,4.550000000000001,26.49,16.0,4.5,,,,,,
Monster,18.0,4.672222222222222,30.74388888888889,123.0,4.829268292682927,15.0,316950.0,2433.0,280.0,1290084540.0,4607444.785714285
NOS,,,,,,,,,53.0,2098258.0,39589.77358490566
Prime,,,,,,15.0,2272000.0,36362.0,117.0,17402369.0,148738.1965811966
Pureboost,1.0,4.2,14.99,8.0,4.125,,,,,,
Red Bull,6.0,4.55,30.16333333333333,29.0,4.931034482758621,,,,161.0,144564534.0,897916.3602484472
Reign,,,,,,15.0,22304.0,552.0,71.0,1641886.0,23125.154929577464
Rockstar,,,,,,15.0,44145.0,6016.0,90.0,9996032.0,111067.02222222222
Spylt,1.0,4.2,39.99,8.0,4.375,,,,,,
Xwerks,1.0,4.1,48.99,8.0,4.25,,,,,,
Zipfizz,1.0,4.5,29.99,8.0,4.75,,,,,,
Zoa,,,,,,15.0,3622.0,232.0,15.0,1219504.0,81300.26666666666
