brand,serving_oz,caffeine_mg,sugar_g,calories,sweetener,source_note
Red Bull,8.4,80,27,110,sugar,public nutrition label (Original)
Monster,16,160,54,210,sugar,public nutrition label (Original)
Celsius,12,200,0,10,sucralose/stevia,public nutrition label (Original)
Bang,16,300,0,0,sucralose,public nutrition label
Reign,16,300,0,10,sucralose,public nutrition label (Total Body Fuel)
C4,16,200,0,5,sucralose,public nutrition label (RTD can)
Alani Nu,12,200,0,10,sucralose,public nutrition label
Ghost,16,200,0,5,sucralose,public nutrition label (Ghost Energy)
Prime,12,200,0,10,sucralose,public nutrition label (Prime Energy)
5-hour Energy,1.93,200,0,4,sucralose,public nutrition label (sugar-free shot)
NOS,16,160,51,220,sugar,public nutrition label (scaled from 24oz can)
Rockstar,16,160,63,280,sugar,public nutrition label (Original)
Zoa,16,160,23,100,sugar,public nutrition label (Original)
G Fuel,16,140,0,0,sucralose,public nutrition label (RTD can)
Zipfizz,1,100,0,20,sucralose,public nutrition label (powder tube, mixed)
