code,product_name,brand,brand_raw,quantity,serving_size,sugars_100g,caffeine_mg_100g,energy_kcal_100g,nutriscore_grade,ingredients_text,countries,url,scraped_at
9892384349397,Monster Energy Drink Citrus,Monster,Monster,355 ml,355 ml,12.1,18.0,56.2,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/1931809018907,2026-07-06T16:19:06Z
6414160350614,G Fuel Energy Drink Cherry Limeade,G Fuel,G Fuel,250 ml,355 ml,0.0,17.1,0,d,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/3438294847092,2026-07-06T16:19:06Z
7088409572486,Alani Nu Energy Drink Cotton Candy,Alani Nu,Alani Nu,355 ml,355 ml,0.0,16.8,0,c,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/2525832950016,2026-07-06T16:19:06Z
5433945965413,Monster Energy Drink Cotton Candy,Monster,Monster,500 ml,1 can,12.8,27.8,55.9,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/0212840677304,2026-07-06T16:19:06Z
7141950284869,Celsius Energy Drink Cola,Celsius,Celsius,473 ml,355 ml,0.0,26.4,0,d,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/8587422675620,2026-07-06T16:19:06Z
6476100912533,Prime Energy Drink Cola,Prime,Prime,500 ml,1 can,11.4,24.1,52.1,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/1404490349806,2026-07-06T16:19:06Z
3720138926395,Celsius Energy Drink Cola,Celsius,Celsius,250 ml,250 ml,0.0,19.9,0,d,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/1921473653527,2026-07-06T16:19:06Z
9645568693934,Red Bull Energy Drink Mango,Red Bull,Red Bull,500 ml,355 ml,12.0,11.2,53.8,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/7530403269053,2026-07-06T16:19:06Z
6888337780069,Monster Energy Drink Peach Mango,Monster,Monster,355 ml,1 can,10.4,25.1,44.1,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/9771120303424,2026-07-06T16:19:06Z
1175500265774,5-hour Energy Energy Drink Original,5-hour Energy,5-hour Energy,500 ml,1 can,12.0,15.0,51.7,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/8714227133320,2026-07-06T16:19:06Z
1275575686511,Red Bull Energy Drink Strawberry Kiwi,Red Bull,Red Bull,355 ml,1 can,9.8,32.0,43.8,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/4624274538483,2026-07-06T16:19:06Z
5460786772423,Red Bull Energy Drink Frozen Berry,Red Bull,Red Bull,500 ml,355 ml,10.3,31.9,45.7,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/0463190800785,2026-07-06T16:19:06Z
8486341018375,Red Bull Energy Drink Grape,Red Bull,Red Bull,355 ml,250 ml,11.2,27.3,48.3,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/4451324357600,2026-07-06T16:19:06Z
2359881268518,Reign Energy Drink Strawberry Kiwi,Reign,Reign,250 ml,355 ml,0.0,19.9,0,c,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/7291492430052,2026-07-06T16:19:06Z
8961069366170,Red Bull Energy Drink Cotton Candy,Red Bull,Red Bull,500 ml,1 can,10.5,15.2,48.7,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/8687656433129,2026-07-06T16:19:06Z
4126390143401,Spylt Energy Drink Watermelon,Spylt,Spylt,473 ml,355 ml,12.4,24.8,53.5,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/2901591772669,2026-07-06T16:19:06Z
0179899675221,Xwerks Energy Drink Tropical Blast,Xwerks,Xwerks,355 ml,355 ml,0.0,12.6,0,c,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/1217053856039,2026-07-06T16:19:06Z
6460350321230,Red Bull Energy Drink Sour Apple,Red Bull,Red Bull,500 ml,250 ml,10.7,15.9,45.6,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/5256337440344,2026-07-06T16:19:06Z
9311607905341,Red Bull Energy Drink Watermelon,Red Bull,Red Bull,473 ml,1 can,10.1,26.7,44.3,e,"carbonated water, sugar, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/9581700446425,2026-07-06T16:19:06Z
7343538819687,Ghost Energy Drink Mango,Ghost,Ghost,500 ml,250 ml,0.0,31.6,0,d,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/6974853292475,2026-07-06T16:19:06Z
7882217846198,Celsius Energy Drink Sour Apple,Celsius,Celsius,355 ml,355 ml,0.0,29.7,0,c,"carbonated water, citric acid, taurine, caffeine, b-vitamins, natural flavor",United States,https://world.openfoodfacts.org/product/1974672173041,2026-07-06T16:19:06Z
