name,operator,product,man_made,industrial,landuse,lon,lat
,,water,silo,,,-111.9172,26.7291
,,beverage,,,,-122.819,49.2256
American Bottling,,,,,,-93.0275,44.8888
Atlantic Bottling Company,,,,distributor,,-92.4222,41.0219
Bernick's,,beverages,works,,,-95.0772,45.1043
Bottling Plant,,,,,,-121.5046,38.6461
Bottling Works Office,,,,,,-79.1767,35.4821
Brown Bottling,,,,,,-90.0206,32.2751
Brown Bottling,,,,,,-90.032,32.2661
Brown Bottling Group,,,,,,-89.3541,31.3635
Castle Springs Bottling,,,,,,-71.3279,43.7323
Coca Cola Bottling Company,,beverages;coke,,,,-93.2936,32.6197
Coca Cola Bottling Company,,,,distributor,,-111.7071,35.1912
Coca Cola Bottling Plant,,,,,,-89.2899,31.3281
Coca Cola Bottling Plant,,drinks,,,,-89.3597,31.3269
Coca Cola bottling facility,,,,,,-118.1509,34.6481
Coca-Cola,,beverages,works,,,-121.9033,37.3668
Coca-Cola Bottling,,,,,,-81.0219,46.4746
Coca-Cola Bottling,,,,,,-70.3274,43.6398
Coca-Cola Bottling,,,,,,-71.3175,42.6166
Coca-Cola Bottling,,,,,industrial,-122.1732,47.6217
Coca-Cola Bottling,,,,,,-122.1739,47.6219
Coca-Cola Bottling,,,,,,-86.2452,39.8034
Coca-Cola Bottling - Morristown,,,,,,-83.2616,36.2261
Coca-Cola Bottling - Morristown,,,,distributor,industrial,-83.2615,36.2259
Coca-Cola Bottling Co,,,,factory,,-74.059,40.8329
Coca-Cola Bottling Co,,,,,,-124.1758,40.7944
Coca-Cola Bottling Co,,,,,,-94.8495,47.4329
Coca-Cola Bottling Co.,,,,,,-96.9544,37.24
Coca-Cola Bottling Co.,,,,,,-70.4885,41.725
Coca-Cola Bottling Co.,,,,,,-83.5492,41.6926
Coca-Cola Bottling Co.,,,,,,-76.2265,40.6751
Coca-Cola Bottling Co.,,,,,,-92.547,47.5375
Coca-Cola Bottling Co. Consolidated,,,,,,-86.768,36.1246
Coca-Cola Bottling Co. of the Black Hills,,,,,,-103.2586,44.1063
Coca-Cola Bottling Company,,,,,,-86.1403,40.5078
Coca-Cola Bottling Company,,,,,industrial,-86.2472,39.8059
Coca-Cola Bottling Company,,,,factory,industrial,-123.1924,39.1439
Coca-Cola Bottling Company,,,,,industrial,-95.4232,29.7272
Coca-Cola Bottling Company,,,,,,-76.7147,39.1842
Coca-Cola Bottling Company Consolidated Candlewood Warehouse,,,,,,-76.7023,39.1694
Coca-Cola Bottling Plant,,,,,,-86.8913,40.4253
Coca-Cola Bottling Plant,,,,,,-122.6384,45.5239
Coca-cola Consolidated Bottling company,,,,,,-84.0562,39.8765
Essence Bottling Company,,,,,,-101.8116,33.6153
G&J Pepsi,,beverages,works,,,-83.835,38.7285
Great Lakes Coca-Cola Bottling,,,,,,-83.6599,43.0102
Great Lakes Coca-Cola Bottling Plant,,,,,,-87.7955,42.0161
Great Plains Coca Cola Bottling Company,,,works,,industrial,-95.9878,35.6085
Great Plains Coca Cola Bottling Company,,drinks,,,,-95.9878,35.6087
Great Plains Coca Cola Bottling Distributing,,,,,industrial,-97.5639,35.4716
Harbor Pacific Bottling,,,,,,-124.0519,46.3673
Henry F. Ortlieb Company Bottling House,,,,,,-75.1415,39.9641
Kalil Bottling Company,,,,distributor,,-111.6753,35.1895
Mahaska Bottling Company,,,,,,-92.6292,41.2809
