brand,article,total_views_12mo,avg_monthly_views
Red Bull,Red Bull,1105675,92140
Monster,Monster Energy,1104275,92023
Celsius,Celsius (drink),737500,61458
Prime,Prime (drink),606028,50502
Bang,Bang Energy,450555,37546
Alani Nu,Alani Nu,411415,34285
Ghost,Ghost (lifestyle brand),397262,33105
Reign,Reign (drink),334219,27852
Rockstar,Rockstar (drink),328931,27411
Liquid Death,Liquid Death,292407,24367
G Fuel,Gamma Labs,291391,24283
C4,Cellucor,245789,20482
Liquid I.V.,Liquid I.V.,189471,15789
5-hour Energy,5-hour Energy,180205,15017
Zoa,Zoa (drink),171548,14296
NOS,NOS (drink),153694,12808
