name,mentions,fav,pos,neg,neu,sent_sum,mention_share_pct,fav_share_pct,net_sentiment,mean_compound
Monster,3932,445,953,216,2763,725.184126984127,25.32,11.32,0.187,0.184
Red Bull,2826,267,624,161,2041,453.5,18.2,9.45,0.164,0.16
Bang,1655,150,447,86,1122,356.66190476190474,10.66,9.06,0.218,0.216
Gfuel,1142,79,244,46,852,191.94444444444449,7.35,6.92,0.173,0.168
Celsius,1082,114,297,54,731,236.41666666666666,6.97,10.54,0.225,0.218
Ghost,960,156,383,43,534,335.4166666666667,6.18,16.25,0.354,0.349
Reign,858,110,306,33,519,265.7666666666667,5.52,12.82,0.318,0.31
Rockstar,848,122,283,41,524,236.38888888888889,5.46,14.39,0.285,0.279
Prime,716,42,141,56,519,82.42380952380954,4.61,5.87,0.119,0.115
C4,568,73,181,22,365,156.11111111111114,3.66,12.85,0.28,0.275
NOS,442,80,150,11,281,136.58333333333334,2.85,18.1,0.314,0.309
Alani Nu,404,58,146,19,239,123.0,2.6,14.36,0.314,0.304
Bucked Up,97,12,35,5,57,27.816666666666666,0.62,12.37,0.309,0.287
