name,mentions,fav,pos,neg,neu,sent_sum,mention_share_pct,fav_share_pct,net_sentiment,mean_compound
Strawberry,764,142,316,46,402,266.3994397759104,7.62,18.59,0.353,0.349
Mango,726,148,332,22,372,303.2277777777779,7.24,20.39,0.427,0.418
Watermelon,649,138,302,25,322,270.2161064425771,6.48,21.26,0.427,0.416
Zero Sugar,641,87,208,48,385,157.63039215686274,6.4,13.57,0.25,0.246
Peach,635,134,305,33,297,268.18039215686275,6.34,21.1,0.428,0.422
Coconut,623,82,222,36,365,183.50000000000003,6.22,13.16,0.299,0.295
Coffee,596,79,201,48,347,146.66666666666666,5.95,13.26,0.257,0.246
Fruit Punch,579,105,234,20,325,209.34388422035482,5.78,18.13,0.37,0.362
Original,496,84,180,32,284,143.58838383838386,4.95,16.94,0.298,0.289
Vanilla,446,94,201,29,216,167.54943977591037,4.45,21.08,0.386,0.376
Sour,404,74,180,10,214,167.91666666666669,4.03,18.32,0.421,0.416
Orange,393,82,175,19,199,151.47245564892626,3.92,20.87,0.397,0.385
Cherry,358,89,180,18,160,157.7716619981326,3.57,24.86,0.453,0.441
Cola,344,55,129,28,187,99.56055088702148,3.43,15.99,0.294,0.289
Tropical,292,65,134,11,147,118.26610644257701,2.91,22.26,0.421,0.405
Blue Raspberry,271,51,107,16,148,90.91666666666669,2.7,18.82,0.336,0.335
Grape,271,54,129,12,130,114.29388422035481,2.7,19.93,0.432,0.422
Pineapple,262,43,98,11,153,86.33333333333333,2.61,16.41,0.332,0.33
Cotton Candy,229,50,105,11,113,94.16666666666666,2.28,21.83,0.41,0.411
Green Apple,223,41,83,8,132,74.33333333333333,2.22,18.39,0.336,0.333
Lemon Lime,195,49,101,7,87,92.14943977591037,1.95,25.13,0.482,0.473
Guava,152,35,72,4,76,66.53333333333333,1.52,23.03,0.447,0.438
Kiwi,145,35,63,2,80,57.67857142857142,1.45,24.14,0.421,0.398
Dragon Fruit,120,28,43,5,72,37.61666666666667,1.2,23.33,0.317,0.313
Pina Colada,95,18,40,6,49,34.66666666666667,0.95,18.95,0.358,0.365
Passionfruit,74,13,34,1,39,33.0,0.74,17.57,0.446,0.446
Mint,40,7,12,7,21,4.333333333333334,0.4,17.5,0.125,0.108
